类型,标题,地址
IT之家周榜,《黑神话：悟空》被政治正确团队勒索 700 万美元“指导费”？引发国内外热议,https://m.ithome.com/html/775534.htm
麻省理工科技评论本周热文,苹果正式迈入人工智能时代，用户可通过Siri向ChatGPT提问，Vision Pro也将在中国上市,http://www.mittrchina.com/news/detail/13420
InfoQ中国7天热点,React 19 差点拖慢整个互联网！核心团队紧急叫停,https://www.infoq.cn/article/TP67w8oHSQzVFyhyVt2m
GitHubTrending Weekly,comfyanonymous / ComfyUI,https://github.com/comfyanonymous/ComfyUI
GitHubTrending Weekly,hpcaitech / Open-Sora,https://github.com/hpcaitech/Open-Sora
GitHubTrending Weekly,zed-industries / zed,https://github.com/zed-industries/zed
GitHubTrending Weekly,PaperMC / Paper,https://github.com/PaperMC/Paper
GitHubTrending Weekly,EricLBuehler / mistral.rs,https://github.com/EricLBuehler/mistral.rs
GitHubTrending Weekly,hcengineering / platform,https://github.com/hcengineering/platform
GitHubTrending Weekly,idootop / mi-gpt,https://github.com/idootop/mi-gpt
GitHubTrending Weekly,twentyhq / twenty,https://github.com/twentyhq/twenty
GitHubTrending Weekly,apple / axlearn,https://github.com/apple/axlearn
GitHubTrending Weekly,danny-avila / LibreChat,https://github.com/danny-avila/LibreChat
GitHubTrending Weekly,Anjok07 / ultimatevocalremovergui,https://github.com/Anjok07/ultimatevocalremovergui
GitHubTrending Weekly,immich-app / immich,https://github.com/immich-app/immich
GitHubTrending Weekly,gchq / CyberChef,https://github.com/gchq/CyberChef
GitHubTrending Weekly,labmlai / annotated_deep_learning_paper_implementations,https://github.com/labmlai/annotated_deep_learning_paper_implementations
GitHubTrending Weekly,maybe-finance / maybe,https://github.com/maybe-finance/maybe
GitHubTrending Weekly,ltdrdata / ComfyUI-Manager,https://github.com/ltdrdata/ComfyUI-Manager
GitHubTrending Weekly,iptv-org / iptv,https://github.com/iptv-org/iptv
GitHubTrending Weekly,Stability-AI / StableSwarmUI,https://github.com/Stability-AI/StableSwarmUI
oschina,“OpenAI劲敌”Anthropic发布Claude 3.5——史上最强AI大模型、吊打GPT-4o、免费可用,https://mp.weixin.qq.com/s/kx3PO2i7vhhHsFA2p82Bqw
oschina,serverless 在点淘的质量保障实践,https://my.oschina.net/u/4662964/blog/11188168
oschina,大众点评内容搜索算法优化的探索与实践,https://my.oschina.net/meituantech/blog/11048543
oschina,浅析 Spring 中 Async 注解底层异步线程池原理,https://my.oschina.net/u/5783135/blog/11209054
博客园,睡眠不足正这样破坏你的记忆力，即使补觉也无法挽回,https://news.cnblogs.com/n/771611/
周刊,科技爱好者周刊（第 305 期）,https://www.ruanyifeng.com/blog/2024/06/weekly-issue-305.html
周刊,AIGC Weekly #76,https://quail.ink/op7418/p/aigc-weekly-76
学习资料,千古前端图文教程,https://github.com/qianguyihao/Web
学习资料,git-cheat-sheet,https://wizardzines.com/git-cheat-sheet.pdf
学习资料,books,https://github.com/qloog/books
学习资料,ChatTTS 资源库,https://github.com/panyanyany/Awesome-ChatTTS
网站,独立开发者出海工具箱,https://indiehackertools.net/
